ItemCode,StockItemName,MarketSegmentation,Presence,ClosingPrice,Prepare,FluctuationRate,OpenPrice,HighPrice,LowPrice,TradingVolume,TransactionAmount,MarketCap,NumberOf ListedShares
종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
1780,알루코,KOSPI,,2850,-30,-1.04,2905,2905,2840,0,799619380,2.56E+11,90
260660,알리코제약,KOSDAQ,우량기업부,6650,0,0,6620,6680,6590,0,82112010,1.02E+11,15
361570,알비더블유,KOSDAQ,중견기업부,16100,370,2.35,16000,16330,15720,0,1489068770,1.55E+11,10
131370,알서포트,KOSDAQ,벤처기업부,4995,120,2.46,4890,5000,4860,1,4761397745,2.66E+11,53
140670,알에스오토메이션,KOSDAQ,중견기업부,14170,-350,-2.41,14600,14690,14070,0,1687184290,1.32E+11,9
96610,알에프세미,KOSDAQ,중견기업부,3100,-5,-0.16,3145,3145,3050,0,156783180,33708817200,11
61040,알에프텍,KOSDAQ,중견기업부,5660,250,4.62,5460,5710,5420,1,6866822590,1.82E+11,32
148250,알엔투테크놀로지,KOSDAQ,벤처기업부,9140,-290,-3.08,9420,9480,9090,0,338482350,69888909460,8
347860,알체라,KOSDAQ,기술성장기업부,13070,40,0.31,13250,13730,12460,1,19006376350,2.82E+11,22
196170,알테오젠,KOSDAQ GLOBAL,기술성장기업부,41700,300,0.72,41700,42700,41000,0,20791030150,2.15E+12,52
123750,알톤스포츠,KOSDAQ,벤처기업부,4750,145,3.15,4610,4760,4570,0,1059116870,60544910750,13
85810,알티캐스트,KOSDAQ,중견기업부,1978,-5,-0.25,1983,2015,1969,0,180052228,58718451082,30
117670,알파홀딩스,KOSDAQ,투자주의환기종목(소속부없음),1441,-45,-3.03,1526,1598,1424,1,2209511295,45700247219,32
314140,알피바이오,KOSDAQ,중견기업부,14610,60,0.41,14630,14880,14340,0,2083359680,1.20E+11,8
291650,압타머사이언스,KOSDAQ,기술성장기업부,9040,-10,-0.11,8940,9090,8910,0,152928010,76750739040,8
293780,압타바이오,KOSDAQ,기술성장기업부,11160,20,0.18,11130,11340,11050,0,820924550,2.49E+11,22
267810,앙츠,KONEX,일반기업부,951,0,0,0,0,0,0,0,1699437000,2
18250,애경산업,KOSPI,,19880,120,0.61,19980,20150,19600,0,1041070170,5.25E+11,26
161000,애경케미칼,KOSPI,,8720,20,0.23,8720,8730,8660,0,408831910,4.24E+11,49
390110,애니메디솔루션,KONEX,일반기업부,10900,0,0,0,0,0,0,0,97836187300,9
196300,애니젠,KOSDAQ,기술성장기업부,7640,20,0.26,7700,7700,7570,0,2785790,42803527840,6
310200,애니플러스,KOSDAQ,중견기업부,4850,-60,-1.22,4935,4945,4715,1,6151742405,2.08E+11,43
179530,애드바이오텍,KOSDAQ,기술성장기업부,4340,-60,-1.36,4400,4400,4305,0,54617850,39669526960,9
900100,애머릿지,KOSDAQ,외국기업(소속부없음),2490,-75,-2.92,2545,2545,2490,0,181625600,83839632150,34
205500,액션스퀘어,KOSDAQ,중견기업부,3255,5,0.15,3255,3320,3240,0,109279510,1.51E+11,46
52790,액토즈소프트,KOSDAQ,중견기업부,9340,320,3.55,9060,9420,9050,0,1519438880,1.06E+11,11
290740,액트로,KOSDAQ,벤처기업부,6340,10,0.16,6310,6410,6220,0,37407280,63812169740,10
238090,앤디포스,KOSDAQ,우량기업부,5460,-40,-0.73,5510,5510,5410,0,148923330,1.31E+11,24
92600,앤씨앤,KOSDAQ,벤처기업부,1707,6,0.35,1702,1733,1692,0,193998677,42817563519,25
129890,앱코,KOSDAQ,벤처기업부,6670,-30,-0.45,6660,6720,6590,0,45475470,67558308940,10
174900,앱클론,KOSDAQ,기술성장기업부,13410,-310,-2.26,13790,13790,13340,0,481681350,2.05E+11,15
255440,야스,KOSDAQ,우량기업부,8630,-50,-0.58,8800,8800,8620,0,81603660,1.13E+11,13
30960,양지사,KOSDAQ,중견기업부,29750,200,0.68,29550,30300,29550,0,760040350,4.75E+11,16
73570,어반리튬,KOSDAQ,중견기업부,14130,-460,-3.15,14590,14590,14050,0,4433877550,3.91E+11,28
102120,어보브반도체,KOSDAQ,우량기업부,9520,-10,-0.1,9530,9630,9440,0,693796140,1.69E+11,18
263540,어스앤에어로스페이스,KOSDAQ,투자주의환기종목(소속부없음),10880,0,0,0,0,0,0,0,84143167360,8
238120,얼라인드,KOSDAQ,기술성장기업부,8010,10,0.13,8030,8080,8000,0,41237550,57587478480,7
224810,엄지하우스,KONEX,일반기업부,4320,195,4.73,4320,4320,4320,0,4320,18144000000,4
19990,에너토크,KOSDAQ,중견기업부,10370,-100,-0.96,10470,10540,10360,0,730698540,1.01E+11,10
11090,에넥스,KOSPI,,874,-1,-0.11,875,883,867,0,58061529,52432694234,60
270660,에브리봇,KOSDAQ,벤처기업부,17300,-240,-1.37,17540,17680,17230,0,1582537840,2.11E+11,12
38680,에스넷,KOSDAQ,중견기업부,6400,220,3.56,6190,6860,6130,4,22992597540,1.09E+11,17
